TX  (753,832)  (798,660)  (857,773)  (975,759)  (915,865)  | overflowToLeft=false
FL  (1494,823)  (1537,831)  (1527,877)  (1570,893)  (1578,937)  | overflowToLeft=false
NV  (265,352)  (346,366)  (247,406)  (336,432)  (273,474)  | overflowToLeft=false
WA  (251,89)  (161,55)  (231,40)  (205,114)  | overflowToLeft=false
NY  (1624,170)  (1594,209)  (1638,217)  (1533,264)  (1590,253)  | overflowToLeft=false
SC  (1471,626)  (1532,628)  (1523,669)  | overflowToLeft=false
SD  (836,247)  (912,250)  (912,298)  (841,298)  (767,289)  | overflowToLeft=false
WI  (1147,298)  (1195,298)  (1198,251)  (1153,253)  (1101,206)  | overflowToLeft=false
MA  (1718,232)  | overflowToLeft=false
MD  (1618,399)  | overflowToLeft=false
IA  (990,336)  (1046,331)  (1103,340)  (1005,394)  (1057,387)  | overflowToLeft=false
ME  (1754,35)  (1755,77)  (1794,91)  (1741,123)  | overflowToLeft=false
OH  (1359,364)  (1436,359)  (1397,364)  (1368,413)  (1417,408)  | overflowToLeft=false
GA  (1386,661)  (1429,661)  (1403,715)  (1462,709)  (1429,762)  | overflowToLeft=false
ID  (376,144)  (369,196)  (366,247)  (433,267)  (370,299)  | overflowToLeft=false
OK  (883,607)  (942,604)  (998,605)  (978,665)  (902,659)  | overflowToLeft=false
MI  (1294,319)  (1341,317)  (1324,275)  (1283,263)  (1317,222)  | overflowToLeft=false
CA  (115,328)  (116,394)  (166,457)  (195,513)  (240,566)  (228,629)  | overflowToLeft=false
UT  (437,403)  (506,438)  (442,465)  (501,494)  (429,515)  | overflowToLeft=false
WV  (1493,418)  (1489,455)  (1450,467)  | overflowToLeft=false
MN  (983,131)  (1046,134)  (988,196)  (1038,236)  (993,271)  | overflowToLeft=false
WY  (555,271)  (656,275)  (557,336)  (669,331)  (601,368)  | overflowToLeft=false
MO  (1049,454)  (1103,468)  (1065,517)  (1131,517)  (1071,562)  | overflowToLeft=false
OR  (213,221)  (135,245)  (153,178)  | overflowToLeft=false
IL  (1216,520)  (1230,472)  (1179,468)  (1226,420)  (1168,394)  | overflowToLeft=false
IN  (1269,380)  (1310,377)  (1273,419)  (1316,419)  (1275,463)  | overflowToLeft=false
MS  (1198,681)  (1237,681)  (1192,725)  (1235,727)  (1197,775)  | overflowToLeft=false
MT  (451,99)  (571,106)  (672,114)  (626,179)  (486,175)  | overflowToLeft=false
KS  (821,486)  (902,485)  (981,485)  (945,542)  (860,539)  | overflowToLeft=false
AL  (1288,669)  (1331,669)  (1290,718)  (1340,716)  (1295,764)  | overflowToLeft=false
VA  (1521,502)  (1565,426)  (1564,469)  (1603,482)  | overflowToLeft=false
CO  (593,447)  (726,454)  (640,501)  (722,504)  (593,539)  | overflowToLeft=false
KY  (1356,484)  (1400,487)  (1366,525)  (1321,532)  (1272,535)  | overflowToLeft=false
AR  (1065,630)  (1135,622)  (1134,671)  (1072,673)  (1107,710)  | overflowToLeft=false
CT  (1701,284)  | overflowToLeft=false
PA  (1609,301)  (1567,314)  (1520,326)  (1496,367)  (1566,356)  | overflowToLeft=false
LA  (1082,761)  (1132,757)  (1104,841)  (1168,842)  (1100,801)  | overflowToLeft=false
NC  (1643,523)  (1589,540)  (1504,550)  (1547,569)  (1593,583)  | overflowToLeft=false
ND  (889,124)  (889,176)  (830,119)  (830,175)  (766,171)  | overflowToLeft=false
NE  (922,363)  (845,360)  (909,422)  (828,422)  (764,373)  | overflowToLeft=false
AZ  (412,590)  (487,602)  (406,661)  (487,664)  (395,722)  | overflowToLeft=false
TN  (1230,600)  (1271,611)  (1313,586)  (1360,599)  (1399,566)  | overflowToLeft=false
NH  (1718,188)  | overflowToLeft=false
NJ  (1667,346)  | overflowToLeft=false
VT  (1667,168)  | overflowToLeft=false
NM  (583,612)  (682,615)  (597,678)  (680,677)  (584,741)  | overflowToLeft=false
